financial_year,month,calendar_year,org_code,parent_org,org_name,ae_type1,ae_type2,ae_other,ae_booked_type1,ae_booked_type2,ae_booked_other,over4hrs_type1,over4hrs_type2,over4hrs_other,over4hrs_booked_type1,over4hrs_booked_type2,over4hrs_booked_other,waited_4_12hrs_dta,waited_12plus_hrs_dta,emergency_admissions_type1,emergency_admissions_type2,emergency_admissions_other,other_emergency_admissions,total_attendances,total_over4hrs,total_booked_attendances,pct_within_4hrs,suspect_zero_breach_flag
2019-2020,April,2019,REF,NHS ENGLAND SOUTH WEST (SOUTH WEST SOUTH),ROYAL CORNWALL HOSPITALS NHS TRUST,6936,0,11837,,,,1951,0,113,,,,824,0,2699,0,29,1119,18773,2064,0,89.01,False
2019-2020,April,2019,AXG,NHS ENGLAND SOUTH WEST (SOUTH WEST NORTH),WILTSHIRE HEALTH & CARE,0,0,3115,,,,0,0,16,,,,0,0,0,0,0,0,3115,16,0,99.49,False
2019-2020,April,2019,NR3,NHS ENGLAND MIDLANDS (NORTH MIDLANDS),NOTTINGHAM CITYCARE PARTNERSHIP,0,0,5057,,,,0,0,4,,,,0,0,0,0,0,0,5057,4,0,99.92,False
2019-2020,April,2019,RY7,NHS ENGLAND NORTH WEST (CHESHIRE AND MERSEYSIDE),WIRRAL COMMUNITY NHS FOUNDATION TRUST,0,0,4368,,,,0,0,17,,,,0,0,0,0,0,0,4368,17,0,99.61,False
2019-2020,April,2019,RY8,NHS ENGLAND MIDLANDS (NORTH MIDLANDS),DERBYSHIRE COMMUNITY HEALTH SERVICES NHS FOUNDATION TRUST,0,0,6382,,,,0,0,1,,,,0,0,0,0,0,0,6382,1,0,99.98,False
2019-2020,April,2019,NDJ,"NHS ENGLAND SOUTH EAST (KENT, SURREY AND SUSSEX)",FIRST COMMUNITY HEALTH AND CARE CIC,0,0,1720,,,,0,0,0,,,,0,0,0,0,0,0,1720,0,0,100.0,True
2019-2020,April,2019,RAN,NHS ENGLAND LONDON,ROYAL NATIONAL ORTHOPAEDIC HOSPITAL NHS TRUST,0,0,0,,,,0,0,0,,,,0,0,0,0,0,31,0,0,0,,False
2019-2020,April,2019,RDY,NHS ENGLAND SOUTH WEST (SOUTH WEST SOUTH),DORSET HEALTHCARE UNIVERSITY NHS FOUNDATION TRUST,0,0,0,,,,0,0,0,,,,0,0,0,0,12,6,0,0,0,,False
2019-2020,April,2019,RW1,"NHS ENGLAND SOUTH EAST (HAMPSHIRE, ISLE OF WIGHT AND THAMES VALLEY)",SOUTHERN HEALTH NHS FOUNDATION TRUST,0,0,704,,,,0,0,0,,,,0,0,0,0,1,177,704,0,0,100.0,False
2019-2020,April,2019,RYY,"NHS ENGLAND SOUTH EAST (KENT, SURREY AND SUSSEX)",KENT COMMUNITY HEALTH NHS FOUNDATION TRUST,0,0,6395,,,,0,0,14,,,,0,0,0,0,0,0,6395,14,0,99.78,False
2019-2020,April,2019,RBZ,NHS ENGLAND SOUTH WEST (SOUTH WEST SOUTH),NORTHERN DEVON HEALTHCARE NHS TRUST,4282,0,1044,,,,998,0,0,,,,190,0,1176,0,0,595,5326,998,0,81.26,False
2019-2020,April,2019,RAT,NHS ENGLAND LONDON,NORTH EAST LONDON NHS FOUNDATION TRUST,0,0,4508,,,,0,0,26,,,,0,0,0,0,0,0,4508,26,0,99.42,False
2019-2020,April,2019,RJR,NHS ENGLAND NORTH WEST (CHESHIRE AND MERSEYSIDE),COUNTESS OF CHESTER HOSPITAL NHS FOUNDATION TRUST,6035,0,517,,,,1171,0,1,,,,521,1,1697,0,0,758,6552,1172,0,82.11,False
