date_key,calendar_year,month_name,month_number,financial_year,is_winter,is_forecast
2019-04,2019,April,4,2019-2020,False,False
2019-05,2019,May,5,2019-2020,False,False
2019-06,2019,June,6,2019-2020,False,False
2019-07,2019,July,7,2019-2020,False,False
2019-08,2019,August,8,2019-2020,False,False
2019-09,2019,September,9,2019-2020,False,False
2019-10,2019,October,10,2019-2020,False,False
2019-11,2019,November,11,2019-2020,False,False
2019-12,2019,December,12,2019-2020,True,False
2020-01,2020,January,1,2019-2020,True,False
2020-02,2020,February,2,2019-2020,True,False
2020-03,2020,March,3,2019-2020,False,False
2020-04,2020,April,4,2020-2021,False,False
2020-05,2020,May,5,2020-2021,False,False
2020-06,2020,June,6,2020-2021,False,False
2020-07,2020,July,7,2020-2021,False,False
2020-08,2020,August,8,2020-2021,False,False
2020-09,2020,September,9,2020-2021,False,False
2020-10,2020,October,10,2020-2021,False,False
2020-11,2020,November,11,2020-2021,False,False
2020-12,2020,December,12,2020-2021,True,False
2021-01,2021,January,1,2020-2021,True,False
2021-02,2021,February,2,2020-2021,True,False
2021-03,2021,March,3,2020-2021,False,False
2021-04,2021,April,4,2021-2022,False,False
2021-05,2021,May,5,2021-2022,False,False
2021-06,2021,June,6,2021-2022,False,False
2021-07,2021,July,7,2021-2022,False,False
2021-08,2021,August,8,2021-2022,False,False
2021-09,2021,September,9,2021-2022,False,False
2021-10,2021,October,10,2021-2022,False,False
2021-11,2021,November,11,2021-2022,False,False
2021-12,2021,December,12,2021-2022,True,False
2022-01,2022,January,1,2021-2022,True,False
2022-02,2022,February,2,2021-2022,True,False
2022-03,2022,March,3,2021-2022,False,False
2022-04,2022,April,4,2022-2023,False,False
2022-05,2022,May,5,2022-2023,False,False
2022-06,2022,June,6,2022-2023,False,False
2022-07,2022,July,7,2022-2023,False,False
2022-08,2022,August,8,2022-2023,False,False
2022-09,2022,September,9,2022-2023,False,False
2022-10,2022,October,10,2022-2023,False,False
2022-11,2022,November,11,2022-2023,False,False
2022-12,2022,December,12,2022-2023,True,False
2023-01,2023,January,1,2022-2023,True,False
2023-02,2023,February,2,2022-2023,True,False
2023-03,2023,March,3,2022-2023,False,False
2023-04,2023,April,4,2023-2024,False,False
2023-05,2023,May,5,2023-2024,False,False
2023-06,2023,June,6,2023-2024,False,False
2023-07,2023,July,7,2023-2024,False,False
2023-08,2023,August,8,2023-2024,False,False
2023-09,2023,September,9,2023-2024,False,False
2023-10,2023,October,10,2023-2024,False,False
2023-11,2023,November,11,2023-2024,False,False
2023-12,2023,December,12,2023-2024,True,False
2024-01,2024,January,1,2023-2024,True,False
2024-02,2024,February,2,2023-2024,True,False
2024-03,2024,March,3,2023-2024,False,False
2024-04,2024,April,4,2024-2025,False,False
2024-05,2024,May,5,2024-2025,False,False
2024-06,2024,June,6,2024-2025,False,False
2024-07,2024,July,7,2024-2025,False,False
2024-08,2024,August,8,2024-2025,False,False
2024-09,2024,September,9,2024-2025,False,False
2024-10,2024,October,10,2024-2025,False,False
2024-11,2024,November,11,2024-2025,False,False
2024-12,2024,December,12,2024-2025,True,False
2025-01,2025,January,1,2024-2025,True,False
2025-02,2025,February,2,2024-2025,True,False
2025-03,2025,March,3,2024-2025,False,False
2025-04,2025,April,4,2025-2026,False,False
2025-05,2025,May,5,2025-2026,False,False
2025-06,2025,June,6,2025-2026,False,False
2025-07,2025,July,7,2025-2026,False,False
2025-08,2025,August,8,2025-2026,False,False
2025-09,2025,September,9,2025-2026,False,False
2025-10,2025,October,10,2025-2026,False,False
2025-11,2025,November,11,2025-2026,False,False
2025-12,2025,December,12,2025-2026,True,False
2026-01,2026,January,1,2025-2026,True,False
2026-02,2026,February,2,2025-2026,True,False
2026-03,2026,March,3,2025-2026,False,False
2026-04,2026,April,4,2026-2027,False,False
2026-05,2026,May,5,2026-2027,False,False
2026-06,2026,June,6,2026-2027,False,False
2026-07,2026,July,7,2026-2027,False,False
2026-08,2026,August,8,2026-2027,False,False
2026-09,2026,September,9,,True,True
2026-10,2026,October,10,,True,True
2026-11,2026,November,11,,True,True
2026-12,2026,December,12,,True,True
2027-01,2027,January,1,,True,True
2027-02,2027,February,2,,True,True
