org_code,org_name,parent_org,persistent_bottom_quartile
REM,AINTREE UNIVERSITY HOSPITAL NHS FOUNDATION TRUST,NHS ENGLAND NORTH WEST (CHESHIRE AND MERSEYSIDE),False
RCF,AIREDALE NHS FOUNDATION TRUST,NHS ENGLAND NORTH EAST AND YORKSHIRE (YORKSHIRE AND HUMBER),False
RBS,ALDER HEY CHILDREN'S NHS FOUNDATION TRUST,NHS ENGLAND NORTH WEST (CHESHIRE AND MERSEYSIDE),False
RTK,ASHFORD AND ST PETER'S HOSPITALS NHS FOUNDATION TRUST,"NHS ENGLAND SOUTH EAST (KENT, SURREY AND SUSSEX)",True
NL7,ASSURA VERTIS URGENT CARE CENTRES (BIRMINGHAM),NHS ENGLAND MIDLANDS (WEST MIDLANDS),False
RF4,"BARKING, HAVERING AND REDBRIDGE UNIVERSITY HOSPITALS NHS TRUST",NHS ENGLAND LONDON,False
RFF,BARNSLEY HOSPITAL NHS FOUNDATION TRUST,NHS ENGLAND NORTH EAST AND YORKSHIRE (YORKSHIRE AND HUMBER),False
R1H,BARTS HEALTH NHS TRUST,NHS ENGLAND LONDON,False
RDD,BASILDON AND THURROCK UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,NHS ENGLAND EAST OF ENGLAND (EAST),False
RC1,BEDFORD HOSPITAL NHS TRUST,NHS ENGLAND EAST OF ENGLAND (EAST),False
RWX,BERKSHIRE HEALTHCARE NHS FOUNDATION TRUST,"NHS ENGLAND SOUTH EAST (HAMPSHIRE, ISLE OF WIGHT AND THAMES VALLEY)",False
RQ3,BIRMINGHAM WOMEN'S AND CHILDREN'S NHS FOUNDATION TRUST,NHS ENGLAND MIDLANDS (WEST MIDLANDS),False
RXL,BLACKPOOL TEACHING HOSPITALS NHS FOUNDATION TRUST,NHS ENGLAND NORTH WEST (LANCASHIRE AND SOUTH CUMBRIA),False
RMC,BOLTON NHS FOUNDATION TRUST,NHS ENGLAND NORTH WEST (GREATER MANCHESTER),False
RAE,BRADFORD TEACHING HOSPITALS NHS FOUNDATION TRUST,NHS ENGLAND NORTH EAST AND YORKSHIRE (YORKSHIRE AND HUMBER),False
RY2,BRIDGEWATER COMMUNITY HEALTHCARE NHS FOUNDATION TRUST,NHS ENGLAND NORTH WEST (GREATER MANCHESTER),False
RXH,BRIGHTON AND SUSSEX UNIVERSITY HOSPITALS NHS TRUST,"NHS ENGLAND SOUTH EAST (KENT, SURREY AND SUSSEX)",False
NLW,BRISTOL COMMUNITY HEALTH,NHS ENGLAND SOUTH WEST (SOUTH WEST NORTH),False
RXQ,BUCKINGHAMSHIRE HEALTHCARE NHS TRUST,"NHS ENGLAND SOUTH EAST (HAMPSHIRE, ISLE OF WIGHT AND THAMES VALLEY)",False
RWY,CALDERDALE AND HUDDERSFIELD NHS FOUNDATION TRUST,NHS ENGLAND NORTH EAST AND YORKSHIRE (YORKSHIRE AND HUMBER),False
RGT,CAMBRIDGE UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,NHS ENGLAND EAST OF ENGLAND (EAST),False
RYX,CENTRAL LONDON COMMUNITY HEALTHCARE NHS TRUST,NHS ENGLAND LONDON,False
RQM,CHELSEA AND WESTMINSTER HOSPITAL NHS FOUNDATION TRUST,NHS ENGLAND LONDON,False
RFS,CHESTERFIELD ROYAL HOSPITAL NHS FOUNDATION TRUST,NHS ENGLAND MIDLANDS (NORTH MIDLANDS),False
RJ8,CORNWALL PARTNERSHIP NHS FOUNDATION TRUST,NHS ENGLAND SOUTH WEST (SOUTH WEST SOUTH),False
RJR,COUNTESS OF CHESTER HOSPITAL NHS FOUNDATION TRUST,NHS ENGLAND NORTH WEST (CHESHIRE AND MERSEYSIDE),False
RXP,COUNTY DURHAM AND DARLINGTON NHS FOUNDATION TRUST,NHS ENGLAND NORTH EAST AND YORKSHIRE (CUMBRIA AND NORTH EAST),False
RYG,COVENTRY AND WARWICKSHIRE PARTNERSHIP NHS TRUST,NHS ENGLAND MIDLANDS (WEST MIDLANDS),False
RJ6,CROYDON HEALTH SERVICES NHS TRUST,NHS ENGLAND LONDON,False
RN7,DARTFORD AND GRAVESHAM NHS TRUST,"NHS ENGLAND SOUTH EAST (KENT, SURREY AND SUSSEX)",False
RY8,DERBYSHIRE COMMUNITY HEALTH SERVICES NHS FOUNDATION TRUST,NHS ENGLAND MIDLANDS (NORTH MIDLANDS),False
NNJ,DHU HEALTH CARE C.I.C,NHS ENGLAND MIDLANDS (NORTH MIDLANDS),False
RP5,DONCASTER AND BASSETLAW TEACHING HOSPITALS NHS FOUNDATION TRUST,NHS ENGLAND NORTH EAST AND YORKSHIRE (YORKSHIRE AND HUMBER),False
RBD,DORSET COUNTY HOSPITAL NHS FOUNDATION TRUST,NHS ENGLAND SOUTH WEST (SOUTH WEST SOUTH),False
RDY,DORSET HEALTHCARE UNIVERSITY NHS FOUNDATION TRUST,NHS ENGLAND SOUTH WEST (SOUTH WEST SOUTH),False
RWH,EAST AND NORTH HERTFORDSHIRE NHS TRUST,NHS ENGLAND EAST OF ENGLAND (EAST),False
RJN,EAST CHESHIRE NHS TRUST,NHS ENGLAND NORTH WEST (CHESHIRE AND MERSEYSIDE),True
RVV,EAST KENT HOSPITALS UNIVERSITY NHS FOUNDATION TRUST,"NHS ENGLAND SOUTH EAST (KENT, SURREY AND SUSSEX)",False
RXR,EAST LANCASHIRE HOSPITALS NHS TRUST,NHS ENGLAND NORTH WEST (LANCASHIRE AND SOUTH CUMBRIA),False
