Period,Org Code,Parent Org,Org name,A&E attendances Type 1,A&E attendances Type 2,A&E attendances Other A&E Department,A&E attendances Booked Appointments Type 1,A&E attendances Booked Appointments Type 2,A&E attendances Booked Appointments Other Department,Attendances over 4hrs Type 1,Attendances over 4hrs Type 2,Attendances over 4hrs Other Department,Attendances over 4hrs Booked Appointments Type 1,Attendances over 4hrs Booked Appointments Type 2,Attendances over 4hrs Booked Appointments Other Department,Patients who have waited 4-12 hs from DTA to admission,Patients who have waited 12+ hrs from DTA to admission,Emergency admissions via A&E - Type 1,Emergency admissions via A&E - Type 2,Emergency admissions via A&E - Other A&E department,Other emergency admissions
MSitAE-AUGUST-2026,AAH,NHS ENGLAND SOUTH WEST ,TETBURY HOSPITAL TRUST LTD,0,0,603,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MSitAE-AUGUST-2026,AJN,NHS ENGLAND NORTH EAST AND YORKSHIRE ,WORKINGTON HEALTH LIMITED,0,0,461,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MSitAE-AUGUST-2026,C82009,NHS ENGLAND MIDLANDS ,MARKET HARBOROUGH MED.CTR,0,0,307,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MSitAE-AUGUST-2026,NDJ,NHS ENGLAND SOUTH EAST ,FIRST COMMUNITY HEALTH AND CARE CIC,0,0,2320,0,0,0,0,0,34,0,0,0,0,0,0,0,0,0
MSitAE-AUGUST-2026,NTV0B,NHS ENGLAND SOUTH EAST ,ASHFORD WALK-IN-CENTRE,0,0,2517,0,0,0,0,0,91,0,0,0,0,0,0,0,0,0
MSitAE-AUGUST-2026,NTV0W,NHS ENGLAND SOUTH EAST ,WOKING WALK IN CENTRE,0,0,2828,0,0,0,0,0,93,0,0,0,0,0,0,0,0,0
MSitAE-AUGUST-2026,RJ8,NHS ENGLAND SOUTH WEST ,CORNWALL PARTNERSHIP NHS FOUNDATION TRUST,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,66
MSitAE-AUGUST-2026,RPC,NHS ENGLAND SOUTH EAST ,QUEEN VICTORIA HOSPITAL NHS FOUNDATION TRUST,0,0,1394,0,0,0,0,0,0,0,0,0,0,0,0,0,5,575
MSitAE-AUGUST-2026,RW1,NHS ENGLAND SOUTH EAST ,HAMPSHIRE AND ISLE OF WIGHT HEALTHCARE NHS FOUNDATION TRUST,0,0,2950,0,0,0,0,0,26,0,0,0,0,0,0,0,0,125
MSitAE-AUGUST-2026,Y02428,NHS ENGLAND EAST OF ENGLAND ,PUTNOE WALK IN CENTRE,0,0,2352,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MSitAE-AUGUST-2026,Y02532,NHS ENGLAND NORTH WEST ,MIRIAM MINOR EMERGENCY,0,0,1631,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MSitAE-AUGUST-2026,DJV01,NHS ENGLAND SOUTH EAST ,HERNE BAY HEALTH CARE LTD,0,0,2791,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MSitAE-AUGUST-2026,NNF09,NHS ENGLAND NORTH EAST AND YORKSHIRE ,BRANSHOLME HEALTH CENTRE,0,0,3486,0,0,0,0,0,287,0,0,0,0,0,0,0,0,0
MSitAE-AUGUST-2026,NNF16,NHS ENGLAND NORTH EAST AND YORKSHIRE ,BRIDLINGTON HOSPITAL,0,0,1707,0,0,0,0,0,66,0,0,0,0,0,0,0,0,0
MSitAE-AUGUST-2026,NNF94,NHS ENGLAND NORTH EAST AND YORKSHIRE ,EAST RIDING COMMUNITY HOSPITAL,0,0,2895,0,0,0,0,0,233,0,0,0,0,0,0,0,0,0
MSitAE-AUGUST-2026,NNFA7,NHS ENGLAND NORTH EAST AND YORKSHIRE ,GOOLE & DISTRICT HOSPITAL,0,0,1671,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0
MSitAE-AUGUST-2026,NVE43,NHS ENGLAND SOUTH EAST ,HASTINGS GP LED HEALTH CENTRE,0,0,1235,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MSitAE-AUGUST-2026,RBQ,NHS ENGLAND NORTH WEST ,LIVERPOOL HEART AND CHEST HOSPITAL NHS FOUNDATION TRUST,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,105
MSitAE-AUGUST-2026,RBS,NHS ENGLAND NORTH WEST ,ALDER HEY CHILDREN'S NHS FOUNDATION TRUST,4626,0,0,0,0,0,492,0,0,0,0,0,0,0,717,0,0,207
MSitAE-AUGUST-2026,RCX,NHS ENGLAND EAST OF ENGLAND ,"THE QUEEN ELIZABETH HOSPITAL, KING'S LYNN, NHS FOUNDATION TRUST",6721,0,1274,0,0,0,2940,0,0,0,0,0,751,151,1866,0,0,317
MSitAE-AUGUST-2026,RDY,NHS ENGLAND SOUTH WEST ,DORSET HEALTHCARE UNIVERSITY NHS FOUNDATION TRUST,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MSitAE-AUGUST-2026,RGP,NHS ENGLAND EAST OF ENGLAND ,JAMES PAGET UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,8159,0,1599,0,0,0,3143,0,0,0,0,0,550,373,1655,0,0,475
MSitAE-AUGUST-2026,RY7,NHS ENGLAND NORTH WEST ,WIRRAL COMMUNITY HEALTH AND CARE NHS FOUNDATION TRUST,0,0,4024,0,0,0,0,0,295,0,0,0,0,0,0,0,0,0
MSitAE-AUGUST-2026,RYF,NHS ENGLAND SOUTH WEST ,SOUTH WESTERN AMBULANCE SERVICE NHS FOUNDATION TRUST,0,0,1996,0,0,39,0,0,85,0,0,1,0,0,0,0,0,0
MSitAE-AUGUST-2026,ACH01,NHS ENGLAND SOUTH EAST ,WHITSTABLE MEDICAL PRACTICE,0,0,4942,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MSitAE-AUGUST-2026,C82038,NHS ENGLAND MIDLANDS ,LATHAM HOUSE MEDICAL PRACTICE,0,0,388,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MSitAE-AUGUST-2026,DT301,NHS ENGLAND EAST OF ENGLAND ,HERTS URGENT CARE (ASCOTS LANE),0,0,2128,0,0,0,0,0,72,0,0,0,0,0,0,0,0,0
MSitAE-AUGUST-2026,RC9,NHS ENGLAND EAST OF ENGLAND ,BEDFORDSHIRE HOSPITALS NHS FOUNDATION TRUST,17973,0,7705,0,0,0,7264,0,0,0,0,0,82,13,4881,0,0,2167
MSitAE-AUGUST-2026,RLQ,NHS ENGLAND MIDLANDS ,WYE VALLEY NHS TRUST,6229,927,195,109,0,0,2670,0,0,26,0,0,415,121,1427,0,0,142
MSitAE-AUGUST-2026,RWY,NHS ENGLAND NORTH EAST AND YORKSHIRE ,CALDERDALE AND HUDDERSFIELD NHS FOUNDATION TRUST,15380,0,0,0,0,0,2166,0,0,0,0,0,1166,70,2782,0,0,171
MSitAE-AUGUST-2026,RNN,NHS ENGLAND NORTH EAST AND YORKSHIRE ,NORTH CUMBRIA INTEGRATED CARE NHS FOUNDATION TRUST,8708,0,3202,216,0,33,4314,0,97,62,0,3,470,259,2200,0,0,399
MSitAE-AUGUST-2026,NNJ10,NHS ENGLAND MIDLANDS ,ENDERBY LEISURE CENTRE,0,0,0,0,0,371,0,0,0,0,0,0,0,0,0,0,0,0
MSitAE-AUGUST-2026,NNJ11,NHS ENGLAND MIDLANDS ,LUTTERWORTH HOSPITAL,0,0,0,0,0,169,0,0,0,0,0,0,0,0,0,0,0,0
MSitAE-AUGUST-2026,NNJ12,NHS ENGLAND MIDLANDS ,MARKET HARBOROUGH,0,0,0,0,0,324,0,0,0,0,0,0,0,0,0,0,0,0
MSitAE-AUGUST-2026,NNJ13,NHS ENGLAND MIDLANDS ,MELTON MOWBRAY,0,0,0,0,0,406,0,0,0,0,0,0,0,0,0,0,0,0
MSitAE-AUGUST-2026,NTP11,NHS ENGLAND SOUTH EAST ,PRACTICE PLUS GROUP HOSPITAL - SOUTHAMPTON,0,0,5365,0,0,0,0,0,140,0,0,0,0,0,0,0,0,0
MSitAE-AUGUST-2026,NV693,NHS ENGLAND NORTH WEST ,ROSSENDALE MIU & OOH,0,0,1044,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MSitAE-AUGUST-2026,RBT,NHS ENGLAND NORTH WEST ,MID CHESHIRE HOSPITALS NHS FOUNDATION TRUST,7136,0,3104,0,0,76,3363,0,26,0,0,0,480,612,2557,0,0,726
MSitAE-AUGUST-2026,REF,NHS ENGLAND SOUTH WEST ,ROYAL CORNWALL HOSPITALS NHS TRUST,8238,0,14208,0,0,0,4422,0,1099,0,0,0,686,571,2816,0,39,1229
MSitAE-AUGUST-2026,REM,NHS ENGLAND NORTH WEST ,LIVERPOOL UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,16544,2023,9872,544,0,0,8086,24,133,248,0,0,853,1027,4856,199,0,2266
MSitAE-AUGUST-2026,RNU,NHS ENGLAND SOUTH EAST ,OXFORD HEALTH NHS FOUNDATION TRUST,0,0,4733,0,0,0,0,0,108,0,0,0,0,0,0,0,0,0
MSitAE-AUGUST-2026,RQX,NHS ENGLAND LONDON,HOMERTON HEALTHCARE NHS FOUNDATION TRUST,11151,0,0,0,0,0,1854,0,0,0,0,0,161,19,1819,0,0,303
MSitAE-AUGUST-2026,RTP,NHS ENGLAND SOUTH EAST ,SURREY AND SUSSEX HEALTHCARE NHS TRUST,10271,0,0,0,0,0,4853,0,0,0,0,0,600,504,3094,0,0,841
MSitAE-AUGUST-2026,RTQ,NHS ENGLAND SOUTH WEST ,GLOUCESTERSHIRE HEALTH AND CARE NHS FOUNDATION TRUST,0,0,8732,0,0,0,0,0,397,0,0,0,0,0,0,0,1,41
MSitAE-AUGUST-2026,RW4,NHS ENGLAND NORTH WEST ,MERSEY CARE NHS FOUNDATION TRUST,0,0,12971,0,0,0,0,0,133,0,0,0,0,0,0,0,0,49
MSitAE-AUGUST-2026,RXR,NHS ENGLAND NORTH WEST ,EAST LANCASHIRE HOSPITALS NHS TRUST,13548,0,10803,0,0,0,4724,0,783,0,0,0,232,863,3584,0,93,2020
MSitAE-AUGUST-2026,Y02676,NHS ENGLAND SOUTH EAST ,BRIGHTON STATION HEALTH CENTRE,0,0,1994,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MSitAE-AUGUST-2026,NLX,NHS ENGLAND SOUTH WEST ,SIRONA CARE & HEALTH,0,0,9024,0,0,330,0,0,252,0,0,81,0,0,0,0,0,0
MSitAE-AUGUST-2026,R0B,NHS ENGLAND NORTH EAST AND YORKSHIRE ,SOUTH TYNESIDE AND SUNDERLAND NHS FOUNDATION TRUST,10786,1477,5604,1334,0,1929,3772,88,93,490,0,19,221,0,4594,19,0,1261
MSitAE-AUGUST-2026,R1D,NHS ENGLAND MIDLANDS ,SHROPSHIRE COMMUNITY HEALTH NHS TRUST,0,0,3409,0,0,0,0,0,26,0,0,0,0,0,0,0,0,0
MSitAE-AUGUST-2026,RA2,NHS ENGLAND SOUTH EAST ,ROYAL SURREY NHS FOUNDATION TRUST,6629,0,2288,820,0,117,2341,0,0,214,0,0,394,18,2224,0,0,750
MSitAE-AUGUST-2026,RFR,NHS ENGLAND NORTH EAST AND YORKSHIRE ,THE ROTHERHAM NHS FOUNDATION TRUST,9473,0,0,0,0,0,2676,0,0,0,0,0,485,2,1971,0,0,518
MSitAE-AUGUST-2026,RL1,NHS ENGLAND MIDLANDS ,THE ROBERT JONES AND AGNES HUNT ORTHOPAEDIC HOSPITAL NHS FOUNDATION TRUST,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41
MSitAE-AUGUST-2026,RLT,NHS ENGLAND MIDLANDS ,GEORGE ELIOT HOSPITAL NHS TRUST,7241,0,1774,0,0,0,1106,0,2,0,0,0,388,330,1168,0,1,0
MSitAE-AUGUST-2026,RN3,NHS ENGLAND SOUTH WEST ,GREAT WESTERN HOSPITALS NHS FOUNDATION TRUST,7255,0,4417,0,0,0,3664,0,562,0,0,0,582,281,2654,0,0,1127
MSitAE-AUGUST-2026,RRV,NHS ENGLAND LONDON,UNIVERSITY COLLEGE LONDON HOSPITALS NHS FOUNDATION TRUST,13094,0,0,479,0,0,3403,0,0,0,0,0,404,131,1398,0,0,377
MSitAE-AUGUST-2026,RTD,NHS ENGLAND NORTH EAST AND YORKSHIRE ,THE NEWCASTLE UPON TYNE HOSPITALS NHS FOUNDATION TRUST,11810,1620,7830,0,0,1266,4985,74,124,0,0,0,271,16,3618,24,0,2877
MSitAE-AUGUST-2026,RV9,NHS ENGLAND NORTH EAST AND YORKSHIRE ,HUMBER TEACHING NHS FOUNDATION TRUST,0,0,1130,0,0,96,0,0,7,0,0,0,0,0,0,0,0,0
MSitAE-AUGUST-2026,RWF,NHS ENGLAND SOUTH EAST ,MAIDSTONE AND TUNBRIDGE WELLS NHS TRUST,19042,0,2015,1123,0,130,5084,0,10,207,0,0,907,272,2225,0,0,645
